a1,a2,b1,b2,a_rating,commonness,definiteness,domain,difficulty
tired,sleep,thirsty,drink,5.0,Common,Definite,Intra-domain,easy
tired,sleep,sad,cry,4.7,Common,Definite,Intra-domain,easy
tired,sleep,hungry,eat,4.6,Common,Indefinite,Intra-domain,easy
tired,sleep,fresh,work,3.6,Common,Indefinite,Intra-domain,easy
tired,sleep,lazy,couch,3.0,Common,Indefinite,Intra-domain,easy
tired,sleep,bored,read,2.6,Common,Indefinite,Intra-domain,easy
tired,sleep,happy,sit,1.2,Common,Indefinite,Intra-domain,easy
lifejacket,boat,belt,car,5.0,Common,Definite,Intra-domain,medium
lifejacket,boat,seatbelt,airplane,5.0,Common,Indefinite,Intra-domain,medium
lifejacket,boat,airbag,car,4.6,Common,Indefinite,Intra-domain,medium
lifejacket,boat,parachute,airplane,4.5,Common,Definite,Intra-domain,medium
lifejacket,boat,helmet,bike,3.0,Common,Indefinite,Intra-domain,medium
lifejacket,boat,jacket,rocket,2.0,Common,Indefinite,Cross-domain,medium
lifejacket,boat,cap,cruise,1.2,Common,Indefinite,Cross-domain,medium
ovaries,estrogen,pancreas,insulin,5.0,Unc,Indefinite,Intra-domain,advanced
ovaries,estrogen,testes,testosterone,4.8,Unc,Definite,Intra-domain,advanced
ovaries,estrogen,salivary,saliva,4.8,Unc,Definite,Intra-domain,advanced
ovaries,estrogen,sebacious,sebum,3.0,Unc,Definite,Intra-domain,advanced
ovaries,estrogen,sweat,estrogen,2.6,Unc,Indefinite,Cross-domain,advanced
ovaries,estrogen,pituitory,sperm,1.0,Unc,Definite,Intra-domain,advanced
apollo,music,ares,war,5.0,Unc,Definite,Intra-domain,advanced
apollo,music,poseidon,water,4.4,Unc,Definite,Intra-domain,advanced
apollo,music,athena,intelligence,4.0,Unc,Definite,Intra-domain,advanced
apollo,music,hades,hell,3.8,Common,Definite,Intra-domain,advanced
apollo,music,artemis,children,2.0,Unc,Definite,Intra-domain,advanced
apollo,music,hera,travel,1.0,Unc,Indefinite,Intra-domain,advanced
bloodline,mystery,mahabharat,mythology,5.0,Unc,Definite,Intra-domain,advanced
bloodline,mystery,hobbit,fantasy,4.4,Unc,Definite,Intra-domain,advanced
bloodline,mystery,hobbit,romance,3.6,Unc,Indefinite,Intra-domain,advanced
bloodline,mystery,eragon,fantasy,3.3,Unc,Indefinite,Intra-domain,advanced
bloodline,mystery,alchemist,history,2.8,Common,Definite,Cross-domain,advanced
bloodline,mystery,twilight,biography,1.0,Common,Indefinite,Intra-domain,advanced
antony,cleopatra,othello,desdemona,5.0,Unc,Definite,Intra-domain,advanced
antony,cleopatra,oberon,titania,5.0,Unc,Definite,Intra-domain,advanced
antony,cleopatra,hamlet,ophelia,4.8,Common,Definite,Intra-domain,advanced
antony,cleopatra,romeo,juliet,4.5,Common,Definite,Intra-domain,advanced
antony,cleopatra,macbeth,banquo,3.2,Common,Definite,Intra-domain,advanced
antony,cleopatra,shakespeare,juliet,1.5,Common,Definite,Cross-domain,advanced
red,green,yellow,violet,5.0,Common,Definite,Intra-domain,advanced
red,green,blue,orange,4.8,Common,Indefinite,Intra-domain,advanced
red,green,black,white,4.4,Common,Indefinite,Intra-domain,advanced
red,green,purple,brown,3.2,Common,Indefinite,Intra-domain,advanced
red,green,pink,grey,1.0,Common,Indefinite,Intra-domain,advanced
chlorophyll,green,lycopene,red,5.0,Unc,Definite,Intra-domain,advanced
chlorophyll,green,beta-carotene,orange,5.0,Unc,Definite,Intra-domain,advanced
chlorophyll,green,lutein,yellow,4.57,Unc,Definite,Intra-domain,advanced
chlorophyll,green,anthocyanin,purple,4.4,Unc,Definite,Intra-domain,advanced
chlorophyll,green,melanin,blue,2.0,Unc,Definite,Intra-domain,advanced
chlorophyll,green,betalains,black,1.0,Unc,Definite,Intra-domain,advanced
volta,battery,galileo,telescope,5.0,Unc,Definite,Intra-domain,hard
volta,battery,edison,bulb,5.0,Common,Definite,Intra-domain,hard
volta,battery,baird,television,4.8,Unc,Definite,Intra-domain,hard
volta,battery,goodyear,rubber,4.6,Common,Definite,Cross-domain,hard
volta,battery,einstein,tube,3.4,Unc,Definite,Intra-domain,hard
volta,battery,newton,fan,2.0,Unc,Definite,Intra-domain,hard
volta,battery,raman,rain,1.2,Unc,Indefinite,Cross-domain,hard
einstein,relativity,newton,gravity,5.0,Common,Definite,Intra-domain,hard
einstein,relativity,dalton,atom,4.8,Unc,Definite,Intra-domain,hard
einstein,relativity,bohr,electron,4.55,Unc,Definite,Intra-domain,hard
einstein,relativity,darwin,evolution,4.0,Unc,Definite,Intra-domain,hard
einstein,relativity,edison,tubelight,2.0,Unc,Definite,Intra-domain,hard
einstein,relativity,volta,voltage,1.0,Common,Definite,Intra-domain,hard
head,helmet,gun,latch,5.0,Common,Indefinite,Cross-domain,medium
head,helmet,disease,vaccine,5.0,Common,Indefinite,Cross-domain,medium
head,helmet,suitcase,lock,4.6,Common,Indefinite,Intra-domain,medium
head,helmet,account,password,4.2,Common,Definite,Cross-domain,medium
head,helmet,door,bolt,4.0,Common,Definite,Cross-domain,medium
head,helmet,bottle,cap,3.0,Common,Definite,Intra-domain,medium
head,helmet,pen,box,1.2,Common,Indefinite,Cross-domain,medium
flowers,vase,ashes,urn,5.0,Common,Definite,Intra-domain,medium
flowers,vase,medicine,vial,4.8,Common,Indefinite,Cross-domain,medium
flowers,vase,water,bottle,4.6,Common,Definite,Intra-domain,medium
flowers,vase,jam,jar,4.4,Common,Definite,Cross-domain,medium
flowers,vase,bodies,morgue,4.2,Common,Definite,Intra-domain,medium
flowers,vase,tea,bag,2.0,Common,Definite,Cross-domain,medium
flowers,vase,spoon,hanger,1.0,Common,Indefinite,Cross-domain,medium
leg,crutch,canvas,easel,5.0,Common,Definite,Intra-domain,medium
leg,crutch,camera,tripod,4.4,Common,Indefinite,Cross-domain,medium
leg,crutch,sail,mast,4.0,Common,Indefinite,Cross-domain,medium
leg,crutch,bulb,lamp,3.2,Common,Indefinite,Cross-domain,medium
leg,crutch,clothes,clothespin,3.0,Common,Indefinite,Cross-domain,medium
leg,crutch,plate,cover,1.0,Common,Indefinite,Cross-domain,medium
stairs,ladder,tanker,bottle,5.0,Common,Indefinite,Cross-domain,medium
stairs,ladder,shovel,spoon,4.6,Common,Indefinite,Cross-domain,medium
stairs,ladder,barrel,bottle,3.8,Common,Indefinite,Cross-domain,medium
stairs,ladder,sea,lake,3.2,Common,Indefinite,Cross-domain,medium
stairs,ladder,sky,ceiling,3.0,Common,Indefinite,Cross-domain,medium
stairs,ladder,mountain,hill,2.8,Common,Indefinite,Cross-domain,medium
stairs,ladder,pipe,pistol,1.0,Common,Indefinite,Cross-domain,medium
dim,light,fade,colour,5.0,Common,Definite,Intra-domain,medium
dim,light,decline,health,4.8,Common,Indefinite,Cross-domain,medium
dim,light,debit,balance,4.6,Common,Definite,Cross-domain,medium
dim,light,melt,density,3.0,Common,Indefinite,Cross-domain,medium
dim,light,decrease,pressure,3.0,Common,Indefinite,Intra-domain,medium
dim,light,elongate,heat,1.8,Common,Definite,Cross-domain,medium
dim,light,darken,odor,1.0,Common,Definite,Cross-domain,medium
window,curtain,face,veil,5.0,Common,Indefinite,Cross-domain,medium
window,curtain,body,clothes,4.8,Common,Definite,Cross-domain,medium
window,curtain,head,hood,4.0,Common,Indefinite,Cross-domain,medium
window,curtain,bed,sheet,3.0,Common,Definite,Cross-domain,medium
window,curtain,pillow,pillowcase,3.0,Common,Definite,Cross-domain,medium
window,curtain,bottle,cover,1.8,Common,Indefinite,Cross-domain,medium
mobile,battery,body,heart,5.0,Common,Indefinite,Cross-domain,advanced
mobile,battery,automobile,engine,4.8,Common,Definite,Cross-domain,advanced
mobile,battery,computer,cpu,4.0,Common,Definite,Intra-domain,advanced
mobile,battery,atom,nucleus,3.2,Common,Indefinite,Cross-domain,advanced
mobile,battery,door,handle,3.0,Common,Indefinite,Cross-domain,advanced
mobile,battery,bone,marrow,2.0,Common,Definite,Cross-domain,advanced
mobile,battery,cloth,bottle,1.0,Common,Indefinite,Cross-domain,advanced
mosquito,repellant,pimple,cream,5.0,Common,Indefinite,Cross-domain,hard
mosquito,repellant,hunger,food,4.8,Common,Definite,Cross-domain,hard
mosquito,repellant,fire,water,4.2,Common,Indefinite,Cross-domain,hard
mosquito,repellant,disease,medicine,4.0,Common,Definite,Cross-domain,hard
mosquito,repellant,thirst,water,4.0,Common,Definite,Cross-domain,hard
mosquito,repellant,itch,scratch,3.8,Common,Indefinite,Cross-domain,hard
mosquito,repellant,pain,massage,2.6,Common,Indefinite,Cross-domain,hard
mosquito,repellant,fall,laugh,2.0,Common,Indefinite,Cross-domain,hard
mosquito,repellant,nails,ice,1.0,Common,Indefinite,Cross-domain,hard
cloth,detergent,hand,soap,5.0,Common,Definite,Intra-domain,hard
cloth,detergent,hair,shampoo,4.8,Common,Definite,Intra-domain,hard
cloth,detergent,carpet,vaccum,4.5,Common,Definite,Intra-domain,hard
cloth,detergent,wound,disinfectant,4.0,Common,Indefinite,Cross-domain,hard
cloth,detergent,blackboard,duster,3.5,Common,Indefinite,Cross-domain,hard
cloth,detergent,floor,mop,2.0,Common,Indefinite,Intra-domain,hard
cloth,detergent,vessel,scent,1.2,Common,Indefinite,Intra-domain,hard
wall,room,equator,hemisphere,5.0,Common,Definite,Cross-domain,advanced
wall,room,fence,garden,4.8,Common,Indefinite,Intra-domain,advanced
wall,room,bank,river,4.0,Common,Definite,Intra-domain,advanced
wall,room,crust,pie,3.5,Common,Indefinite,Cross-domain,advanced
wall,room,hem,skirt,3.2,Common,Definite,Cross-domain,advanced
wall,room,compound,house,2.0,Common,Indefinite,Cross-domain,advanced
wall,room,sky,palace,1.0,Common,Indefinite,Intra-domain,advanced
crack,mirror,puncture,tyre,5.0,Common,Definite,Cross-domain,advanced
crack,mirror,acne,skin,4.6,Common,Indefinite,Cross-domain,advanced
crack,mirror,leukemia,blood,4.0,Common,Indefinite,Cross-domain,advanced
crack,mirror,tear,pantyhose,3.6,Common,Indefinite,Cross-domain,advanced
crack,mirror,chip,porcelain,3.0,Common,Indefinite,Intra-domain,advanced
crack,mirror,hole,heart,2.0,Common,Indefinite,Cross-domain,advanced
crack,mirror,scratch,tea,1.0,Common,Indefinite,Intra-domain,advanced
whale,pod,weapon,arsenal,5.0,Common,Indefinite,Intra-domain,advanced
whale,pod,flower,boquet,5.0,Common,Definite,Cross-domain,advanced
whale,pod,minister,cabinet,4.2,Common,Indefinite,Intra-domain,advanced
whale,pod,senator,senate,3.8,Unc,Definite,Intra-domain,advanced
whale,pod,soldier,troop,3.0,Unc,Definite,Cross-domain,advanced
whale,pod,leaf,bunch,2.0,Common,Indefinite,Cross-domain,advanced
whale,pod,lion,friends,1.2,Common,Definite,Intra-domain,advanced
music,compose,cake,bake,5.0,Common,Definite,Cross-domain,hard
music,compose,dance,choreograph,4.8,Common,Indefinite,Intra-domain,hard
music,compose,software,program,4.6,Common,Definite,Cross-domain,hard
music,compose,dress,stitch,3.8,Common,Indefinite,Cross-domain,hard
music,compose,literature,language,2.8,Common,Indefinite,Cross-domain,hard
music,compose,snowman,build,2.0,Common,Definite,Intra-domain,hard
music,compose,song,lemon,1.0,Common,Indefinite,Cross-domain,hard
exercise,gym,work,office,5.0,Common,Definite,Intra-domain,medium
exercise,gym,read,library,5.0,Common,Indefinite,Intra-domain,medium
exercise,gym,eat,restaurant,4.8,Common,Definite,Intra-domain,medium
exercise,gym,study,school,4.8,Common,Indefinite,Cross-domain,medium
exercise,gym,drink,bar,4.4,Common,Definite,Cross-domain,medium
exercise,gym,play,park,3.2,Common,Indefinite,Intra-domain,medium
exercise,gym,cook,room,2.0,Common,Indefinite,Cross-domain,medium
exercise,gym,sleep,kitchen,1.0,Common,Indefinite,Cross-domain,medium
penny,1,quarter,25,5.0,Common,Definite,Intra-domain,medium
penny,1,nickel,5,5.0,Common,Definite,Intra-domain,medium
penny,1,dime,10,4.8,Common,Definite,Intra-domain,medium
penny,1,dollar,100,3.0,Common,Definite,Intra-domain,medium
penny,1,dollar,1,2.2,Common,Definite,Intra-domain,medium
penny,1,pence,30,1.0,Common,Indefinite,Intra-domain,medium
music,listen,book,read,5.0,Common,Indefinite,Intra-domain,medium
music,listen,movie,watch,4.8,Common,Definite,Intra-domain,medium
music,listen,toy,play,4.6,Common,Indefinite,Cross-domain,medium
music,listen,perfume,smell,4.2,Common,Definite,Intra-domain,medium
music,listen,song,dance,2.8,Common,Indefinite,Intra-domain,medium
music,listen,video,stand,1.0,Common,Indefinite,Intra-domain,medium
colonel,army,king,kingdom,5.0,Common,Definite,Intra-domain,advanced
colonel,army,father,family,4.4,Common,Definite,Cross-domain,advanced
colonel,army,principal,college,4.0,Common,Indefinite,Intra-domain,advanced
colonel,army,president,country,3.5,Common,Definite,Intra-domain,advanced
colonel,army,headmaster,school,3.0,Common,Definite,Cross-domain,advanced
colonel,army,watchman,office,2.5,Common,Definite,Cross-domain,advanced
colonel,army,sister,playground,1.0,Common,Indefinite,Intra-domain,advanced
egg,chick,larva,insect,5.0,Unc,Definite,Intra-domain,advanced
egg,chick,seed,tree,4.8,Common,Definite,Cross-domain,advanced
egg,chick,zygote,human,4.8,Unc,Definite,Intra-domain,advanced
egg,chick,bud,flower,4.0,Common,Definite,Cross-domain,advanced
egg,chick,caterpiller,butterfly,4.0,Unc,Definite,Intra-domain,advanced
egg,chick,toad,frog,3.8,Common,Definite,Intra-domain,advanced
egg,chick,flower,fruit,3.0,Common,Definite,Cross-domain,advanced
egg,chick,root,house,1.0,Common,Indefinite,Cross-domain,advanced
map,atlas,word,dictionary,5.0,Common,Definite,Intra-domain,hard
map,atlas,address,directory,4.6,Common,Indefinite,Intra-domain,hard
map,atlas,article,magazine,4.4,Common,Indefinite,Intra-domain,hard
map,atlas,photo,album,4.0,Common,Indefinite,Intra-domain,hard
map,atlas,food,menu,3.0,Common,Indefinite,Cross-domain,hard
map,atlas,contact,diary,2.8,Common,Indefinite,Cross-domain,hard
map,atlas,alcohol,room,2.0,Common,Indefinite,Cross-domain,hard
map,atlas,rock,sky,1.0,Common,Indefinite,Cross-domain,hard
fish,swim,bird,fly,5.0,Common,Definite,Intra-domain,medium
fish,swim,snake,slither,4.8,Common,Definite,Intra-domain,medium
fish,swim,man,walk,4.5,Common,Definite,Intra-domain,medium
fish,swim,animal,run,3.8,Common,Indefinite,Intra-domain,medium
fish,swim,baby,crawl,3.0,Common,Definite,Intra-domain,medium
fish,swim,mountain,stand,2.0,Common,Indefinite,Cross-domain,medium
fish,swim,cat,jog,1.0,Common,Indefinite,Cross-domain,medium
glass,clear,wood,opaque,5.0,Common,Indefinite,Intra-domain,advanced
glass,clear,lead,heavy,4.6,Common,Indefinite,Intra-domain,advanced
glass,clear,sandpaper,rough,3.8,Common,Indefinite,Cross-domain,advanced
glass,clear,steel,hard,3.6,Common,Indefinite,Cross-domain,advanced
glass,clear,foil,smooth,3.2,Common,Indefinite,Intra-domain,advanced
glass,clear,marble,shiny,3.0,Common,Definite,Intra-domain,advanced
glass,clear,feather,strong,2.2,Common,Indefinite,Cross-domain,advanced
glass,clear,rod,light,1.0,Common,Indefinite,Cross-domain,advanced
engineer,program,poet,poem,5.0,Common,Definite,Intra-domain,medium
engineer,program,author,article,5.0,Common,Indefinite,Intra-domain,medium
engineer,program,lawyer,case,4.6,Common,Indefinite,Intra-domain,medium
engineer,program,singer,song,4.4,Common,Definite,Intra-domain,medium
engineer,program,actress,movie,4.2,Common,Indefinite,Intra-domain,medium
engineer,program,carpenter,furniture,3.8,Common,Indefinite,Cross-domain,medium
engineer,program,cobbler,shoes,3.4,Common,Definite,Intra-domain,medium
engineer,program,teacher,notes,3.2,Common,Indefinite,Intra-domain,medium
engineer,program,dancer,shoot,1.2,Common,Indefinite,Cross-domain,medium
sweater,knit,shirt,sew,4.6,Common,Indefinite,Intra-domain,hard
sweater,knit,fabric,weave,4.2,Common,Definite,Intra-domain,hard
sweater,knit,dress,stitch,4.2,Common,Indefinite,Intra-domain,hard
sweater,knit,frock,design,3.2,Common,Definite,Intra-domain,hard
sweater,knit,leather,knit,1.4,Common,Indefinite,Cross-domain,hard
dog,kennel,horse,stable,5.0,Common,Definite,Intra-domain,advanced
dog,kennel,bear,cave,5.0,Common,Definite,Intra-domain,advanced
dog,kennel,lion,den,4.8,Common,Definite,Intra-domain,advanced
dog,kennel,cat,cattery,4.8,Unc,Definite,Intra-domain,advanced
dog,kennel,buffalo,barn,4.2,Common,Definite,Intra-domain,advanced
dog,kennel,alligator,nest,4.0,Common,Definite,Intra-domain,advanced
dog,kennel,monkey,tree,3.6,Common,Indefinite,Intra-domain,advanced
dog,kennel,camel,sea,1.0,Common,Indefinite,Intra-domain,advanced
cat,kitten,dog,puppy,5.0,Common,Definite,Intra-domain,advanced
cat,kitten,bear,cub,5.0,Common,Definite,Intra-domain,advanced
cat,kitten,donkey,foal,5.0,Common,Definite,Intra-domain,advanced
cat,kitten,camel,calf,5.0,Common,Definite,Intra-domain,advanced
cat,kitten,goose,gosling,5.0,Common,Definite,Intra-domain,advanced
cat,kitten,kangaroo,joey,5.0,Common,Definite,Intra-domain,advanced
cat,kitten,rat,pup,3.0,Common,Definite,Intra-domain,advanced
cat,kitten,frog,piglet,1.33,Common,Definite,Cross-domain,advanced
stallion,mare,gander,goose,5.0,Common,Definite,Intra-domain,advanced
stallion,mare,lion,lioness,5.0,Common,Definite,Intra-domain,advanced
stallion,mare,stag,hind,4.8,Unc,Definite,Intra-domain,advanced
stallion,mare,boar,sow,4.4,Unc,Definite,Intra-domain,advanced
stallion,mare,dog,bitch,4.2,Common,Definite,Intra-domain,advanced
stallion,mare,bull,cow,4.2,Common,Definite,Intra-domain,advanced
stallion,mare,jack,jenny,2.6,Common,Definite,Cross-domain,advanced
stallion,mare,stag,tigress,2.6,Common,Definite,Intra-domain,advanced
stallion,mare,bull,hen,2.0,Common,Indefinite,Cross-domain,advanced
china,chinese,japan,japanese,5.0,Common,Definite,Intra-domain,medium
china,chinese,india,indian,5.0,Common,Definite,Intra-domain,medium
china,chinese,germany,german,5.0,Common,Definite,Intra-domain,medium
china,chinese,canada,canadian,5.0,Common,Definite,Intra-domain,medium
china,chinese,britain,british,4.8,Common,Definite,Intra-domain,medium
china,chinese,paris,european,2.8,Common,Definite,Intra-domain,medium
china,chinese,malaysia,asian,2.6,Common,Definite,Intra-domain,medium
china,chinese,australia,african,1.0,Common,Definite,Cross-domain,medium
china,shanghai,nigeria,lagos,5.0,Common,Definite,Intra-domain,advanced
china,shanghai,canada,toronto,4.8,Common,Definite,Intra-domain,advanced
china,shanghai,england,leeds,4.5,Unc,Indefinite,Intra-domain,advanced
china,shanghai,pakistan,karachi,4.4,Unc,Definite,Intra-domain,advanced
china,shanghai,russia,moscow,4.0,Unc,Definite,Intra-domain,advanced
china,shanghai,india,mumbai,3.6,Common,Definite,Intra-domain,advanced
china,shanghai,indonesia,jakarta,3.6,Common,Definite,Intra-domain,advanced
china,shanghai,wales,chennai,1.0,Unc,Indefinite,Intra-domain,advanced
chicken,coop,bee,hive,5.0,Common,Definite,Intra-domain,advanced
chicken,coop,bat,roost,4.8,Unc,Definite,Intra-domain,advanced
chicken,coop,pigeon,cote,4.0,Common,Indefinite,Intra-domain,advanced
chicken,coop,dove,dovecot,3.8,Unc,Indefinite,Intra-domain,advanced
chicken,coop,duck,pond,3.0,Common,Indefinite,Intra-domain,advanced
chicken,coop,crow,mountain,2.0,Common,Indefinite,Cross-domain,advanced
hen,cock,duck,drake,5.0,Common,Definite,Intra-domain,advanced
hen,cock,doe,buck,4.6,Common,Definite,Intra-domain,advanced
hen,cock,hen,rooster,4.0,Common,Definite,Intra-domain,advanced
hen,cock,queen,drone,3.4,Common,Definite,Intra-domain,advanced
hen,cock,bird,cock,2.0,Common,Definite,Cross-domain,advanced
hen,cock,eagle,farm,1.8,Common,Definite,Cross-domain,advanced
jeans,zipper,shirt,button,5.0,Common,Indefinite,Intra-domain,medium
jeans,zipper,shoes,lace,4.4,Common,Indefinite,Intra-domain,medium
jeans,zipper,dress,ribbon,3.8,Common,Definite,Intra-domain,medium
jeans,zipper,cap,velcro,4.25,Common,Indefinite,Intra-domain,medium
jeans,zipper,t-shirt,pocket,3.4,Common,Indefinite,Intra-domain,medium
jeans,zipper,jacket,zip,3.2,Common,Indefinite,Intra-domain,medium
hola,spanish,hallo,german,5.0,Unc,Definite,Intra-domain,advanced
hola,spanish,ciao,italian,4.75,Unc,Definite,Intra-domain,advanced
hola,spanish,hello,english,5.0,Common,Definite,Intra-domain,advanced
hola,spanish,hej,danish,5.0,Unc,Definite,Intra-domain,advanced
hola,spanish,namaste,hindi,4.8,Unc,Definite,Intra-domain,advanced
hola,spanish,hello,chinese,2.0,Common,Indefinite,Intra-domain,advanced
car,auto,movie,film,4.8,Common,Definite,Cross-domain,hard
car,auto,good,nice,3.0,Common,Indefinite,Cross-domain,hard
car,auto,chest,thorax,3.33,Common,Definite,Cross-domain,hard
car,auto,smile,laugh,3.0,Common,Indefinite,Cross-domain,hard
car,auto,leopard,tiger,2.8,Common,Indefinite,Cross-domain,hard
car,auto,shower,pour,2.2,Common,Definite,Cross-domain,hard
car,auto,see,sea,1.2,Common,Indefinite,Cross-domain,hard
happy,content,anger,enrage,5.0,Unc,Definite,Intra-domain,advanced
happy,content,fear,fright,4.2,Unc,Indefinite,Intra-domain,advanced
happy,content,sad,despair,4.0,Unc,Indefinite,Intra-domain,advanced
happy,content,disgust,distaste,4.0,Unc,Indefinite,Intra-domain,advanced
happy,content,pain,dreamy,1.8,Unc,Indefinite,Intra-domain,advanced
happy,content,excitement,aloof,1.2,Unc,Indefinite,Cross-domain,advanced
closet,clothes,shelf,book,5.0,Common,Indefinite,Intra-domain,medium
closet,clothes,rack,shoe,4.4,Common,Indefinite,Intra-domain,medium
closet,clothes,fridge,butter,4.2,Common,Indefinite,Cross-domain,medium
closet,clothes,freezer,beer,4.0,Common,Definite,Intra-domain,medium
closet,clothes,parking,car,3.6,Common,Indefinite,Cross-domain,medium
closet,clothes,hanger,shirts,3.0,Common,Indefinite,Intra-domain,medium
closet,clothes,hat,garage,1.6,Common,Indefinite,Cross-domain,medium
closet,clothes,tools,wardrobe,1.0,Common,Indefinite,Cross-domain,medium
policeman,policewoman,host,hostess,5.0,Common,Definite,Intra-domain,medium
policeman,policewoman,poet,poetess,5.0,Common,Definite,Intra-domain,medium
policeman,policewoman,landlord,landlady,4.8,Common,Definite,Cross-domain,medium
policeman,policewoman,master,mistress,4.5,Common,Definite,Intra-domain,medium
policeman,policewoman,king,queen,4.5,Common,Definite,Intra-domain,medium
policeman,policewoman,hero,actress,3.6,Common,Definite,Cross-domain,medium
policeman,policewoman,master,governor,2.0,Common,Definite,Cross-domain,medium
policeman,policewoman,emperor,waitress,1.0,Common,Definite,Intra-domain,medium
teacher,teach,actor,act,5.0,Common,Definite,Intra-domain,medium
teacher,teach,chef,cook,5.0,Common,Definite,Cross-domain,medium
teacher,teach,programmer,program,4.2,Common,Definite,Intra-domain,medium
teacher,teach,waiter,serve,4.0,Common,Definite,Intra-domain,medium
teacher,teach,manager,accounting,2.8,Common,Definite,Intra-domain,medium
teacher,teach,architect,sows,2.0,Common,Indefinite,Intra-domain,medium
teacher,teach,engineer,cure,1.0,Common,Indefinite,Intra-domain,medium
teacher,teach,farmer,sing,1.0,Common,Definite,Intra-domain,medium
bad,terrible,disgusting,loathsome,5.0,Common,Indefinite,Intra-domain,hard
bad,terrible,horrible,awful,5.0,Unc,Indefinite,Intra-domain,hard
bad,terrible,trick,cheat,4.4,Common,Definite,Intra-domain,hard
bad,terrible,mean,nasty,4.0,Common,Indefinite,Intra-domain,hard
bad,terrible,abhorrent,abominable,3.8,Unc,Indefinite,Intra-domain,hard
bad,terrible,ominous,sinister,3.4,Unc,Indefinite,Intra-domain,hard
