a1,a2,b1,b2,a_rating,commonness,definiteness,domain,difficulty
physicist,einstein,geologist,bascom,4.0,Unc,Definite,Intra-domain,advanced
physicist,einstein,psychologist,leon,4.0,Unc,Definite,Cross-domain,advanced
physicist,einstein,history,newton,1.9,Common,Indefinite,Intra-domain,advanced
tyro,inexperienced,vernacular,regional,5.0,Unc,Definite,Intra-domain,advanced
tyro,inexperienced,bigot,prejudiced,4.6,Unc,Indefinite,Intra-domain,advanced
tyro,inexperienced,citadel,fortified,4.0,Unc,Definite,Cross-domain,advanced
tyro,inexperienced,bishop,ordained,3.2,Unc,Indefinite,Cross-domain,advanced
tyro,inexperienced,rivulet,small,2.4,Unc,Indefinite,Cross-domain,advanced
tyro,inexperienced,vitriol,sweet,1.8,Unc,Indefinite,Cross-domain,advanced
tyro,inexperienced,liar,loved,1.0,Unc,Indefinite,Cross-domain,advanced
angiosperms,maple,gymnosperms,pine,5.0,Unc,Definite,Intra-domain,advanced
angiosperms,maple,bryophytes,mosses,5.0,Unc,Definite,Intra-domain,advanced
angiosperms,maple,thallophyta,algae,5.0,Unc,Definite,Intra-domain,advanced
angiosperms,maple,pteridophytes,ferns,4.6,Unc,Indefinite,Intra-domain,advanced
angiosperms,maple,monocot,dicot,2.4,Unc,Indefinite,Intra-domain,advanced
tennis,racket,cricket,bat,5.0,Common,Definite,Intra-domain,hard
tennis,racket,hockey,stick,5.0,Common,Definite,Intra-domain,hard
tennis,racket,golf,club,4.8,Common,Definite,Intra-domain,hard
tennis,racket,badminton,bat,3.6,Common,Definite,Intra-domain,hard
tennis,racket,football,racket,1.0,Common,Indefinite,Intra-domain,hard
zippo,lighter,michelin,tyre,5.0,Common,Definite,Intra-domain,advanced
zippo,lighter,maclaren,stroller,4.6,Unc,Indefinite,Cross-domain,advanced
zippo,lighter,crocs,clogs,4.0,Common,Indefinite,Cross-domain,advanced
zippo,lighter,flexi,leash,4.0,Unc,Definite,Cross-domain,advanced
zippo,lighter,titan,watch,3.2,Common,Definite,Intra-domain,advanced
zippo,lighter,lenovo,door,1.0,Unc,Definite,Cross-domain,advanced
tailor,cloth,goldsmith,gold,5.0,Common,Definite,Cross-domain,hard
tailor,cloth,carpenter,wood,5.0,Common,Definite,Intra-domain,hard
tailor,cloth,bladesmith,iron,4.6,Common,Definite,Intra-domain,hard
tailor,cloth,blacksmith,steel,4.0,Common,Definite,Intra-domain,hard
tailor,cloth,brownsmith,copper,4.0,Common,Indefinite,Cross-domain,hard
tailor,cloth,cobbler,lace,3.4,Common,Indefinite,Cross-domain,hard
tailor,cloth,painter,stone,2.0,Common,Indefinite,Intra-domain,hard
tailor,cloth,plumber,needle,1.7,Common,Indefinite,Cross-domain,hard
carpenter,saw,tailor,needle,5.0,Common,Indefinite,Cross-domain,advanced
carpenter,saw,gardener,shear,5.0,Common,Definite,Intra-domain,advanced
carpenter,saw,plumber,wrench,4.5,Common,Indefinite,Intra-domain,advanced
carpenter,saw,electrician,plier,4.4,Common,Indefinite,Intra-domain,advanced
carpenter,saw,cobbler,chisel,3.8,Common,Indefinite,Intra-domain,advanced
carpenter,saw,potter,silk,1.0,Common,Indefinite,Intra-domain,advanced
elephant,ivory,fox,fur,5.0,Common,Definite,Intra-domain,advanced
elephant,ivory,sheep,wool,5.0,Common,Definite,Intra-domain,advanced
elephant,ivory,snake,skin,4.2,Common,Definite,Intra-domain,advanced
elephant,ivory,cow,milk,3.8,Common,Definite,Intra-domain,advanced
elephant,ivory,cow,manure,2.7,Common,Indefinite,Intra-domain,advanced
elephant,ivory,duck,milk,2.0,Common,Indefinite,Intra-domain,advanced
elephant,ivory,goat,egg,1.2,Common,Indefinite,Intra-domain,advanced
hair,comb,teeth,toothbrush,5.0,Common,Definite,Intra-domain,hard
hair,comb,nail,filer,4.6,Common,Definite,Intra-domain,hard
hair,comb,eyelash,brush,4.5,Common,Indefinite,Intra-domain,hard
hair,comb,eye,liner,3.95,Common,Indefinite,Intra-domain,hard
hair,comb,lip,pencil,3.0,Common,Indefinite,Intra-domain,hard
hair,comb,nose,comb,1.8,Unc,Indefinite,Cross-domain,hard
hair,comb,hand,lipstick,1.0,Common,Indefinite,Cross-domain,hard
drawer,handle,door,knob,5.0,Common,Definite,Intra-domain,hard
drawer,handle,gate,bolt,4.4,Common,Indefinite,Intra-domain,hard
drawer,handle,window,pull,4.2,Common,Indefinite,Intra-domain,hard
drawer,handle,suitcase,zip,4.0,Common,Indefinite,Intra-domain,hard
drawer,handle,door,handle,3.0,Common,Indefinite,Intra-domain,hard
drawer,handle,cupboard,hinge,2.0,Common,Indefinite,Intra-domain,hard
day,week,week,month,5.0,Common,Definite,Intra-domain,easy
day,week,minute,hour,5.0,Common,Definite,Intra-domain,easy
day,week,month,year,4.8,Common,Definite,Intra-domain,easy
day,week,second,minute,4.6,Common,Definite,Intra-domain,easy
day,week,second,hour,3.8,Common,Definite,Intra-domain,easy
day,week,weekend,week,1.8,Common,Indefinite,Intra-domain,easy
needle,sew,scissor,cut,5.0,Common,Definite,Intra-domain,hard
needle,sew,brush,paint,5.0,Common,Definite,Intra-domain,hard
needle,sew,stapler,staple,5.0,Common,Definite,Intra-domain,hard
needle,sew,eraser,erase,4.8,Common,Definite,Intra-domain,hard
needle,sew,glue,paste,4.8,Common,Definite,Intra-domain,hard
needle,sew,thread,join,2.6,Common,Definite,Intra-domain,hard
needle,sew,pencil,sharp,1.5,Common,Indefinite,Cross-domain,hard
shard,glass,splinter,wood,5.0,Unc,Indefinite,Intra-domain,hard
shard,glass,potsherd,pottery,5.0,Unc,Indefinite,Intra-domain,hard
shard,glass,chads,paper,4.8,Unc,Definite,Cross-domain,hard
shard,glass,sediment,rock,4.6,Unc,Definite,Intra-domain,hard
shard,glass,rag,cloth,4.0,Unc,Definite,Intra-domain,hard
shard,glass,pyroclastic,lava,3.2,Unc,Indefinite,Cross-domain,hard
shard,glass,piece,stone,2.0,Common,Definite,Cross-domain,hard
silk,smooth,cotton,soft,4.8,Common,Definite,Intra-domain,hard
silk,smooth,polyester,satiny,4.0,Common,Indefinite,Intra-domain,hard
silk,smooth,jute,itchy,3.8,Common,Definite,Intra-domain,hard
silk,smooth,nylon,soft,3.6,Common,Definite,Intra-domain,hard
silk,smooth,wool,spongy,3.4,Common,Indefinite,Intra-domain,hard
silk,smooth,denim,greasy,2.0,Common,Indefinite,Intra-domain,hard
silk,smooth,viscose,harsh,1.0,Common,Indefinite,Intra-domain,hard
painter,painting,sculptor,sculpture,5.0,Common,Definite,Intra-domain,medium
painter,painting,poet,poem,5.0,Common,Definite,Intra-domain,medium
painter,painting,composer,music,4.8,Common,Definite,Intra-domain,medium
painter,painting,programmer,software,4.6,Common,Definite,Intra-domain,medium
painter,painting,tailor,clothes,4.2,Common,Indefinite,Cross-domain,medium
painter,painting,farmer,grains,3.0,Common,Indefinite,Intra-domain,medium
painter,painting,farmer,photograph,1.3,Common,Indefinite,Cross-domain,medium
painter,painting,pilot,song,1.0,Common,Definite,Cross-domain,medium
square,cube,circle,sphere,5.0,Common,Definite,Intra-domain,advanced
square,cube,triangle,pyramid,4.8,Common,Definite,Intra-domain,advanced
square,cube,rectangle,cuboid,4.0,Common,Definite,Intra-domain,advanced
square,cube,pentagon,polygon,2.0,Common,Definite,Intra-domain,advanced
square,cube,oval,hexagon,1.0,Common,Definite,Intra-domain,advanced
paper,wood,glass,sand,5.0,Common,Definite,Intra-domain,advanced
paper,wood,diamond,carbon,5.0,Common,Definite,Cross-domain,advanced
paper,wood,graphite,carbon,4.6,Common,Definite,Intra-domain,advanced
paper,wood,marble,limestone,4.0,Common,Definite,Intra-domain,advanced
paper,wood,plastic,polymer,3.8,Common,Indefinite,Intra-domain,advanced
paper,wood,wood,tree,2.0,Common,Indefinite,Intra-domain,advanced
paper,wood,jute,fruit,1.0,Common,Indefinite,Intra-domain,advanced
saturn,titan,neptune,triton,5.0,Unc,Definite,Intra-domain,hard
saturn,titan,mars,phobos,4.8,Unc,Definite,Intra-domain,hard
saturn,titan,jupiter,europa,4.2,Unc,Definite,Intra-domain,hard
saturn,titan,uranus,neso,4.0,Common,Definite,Intra-domain,hard
saturn,titan,earth,luna,4.0,Unc,Definite,Intra-domain,hard
saturn,titan,pluto,charon,3.2,Unc,Indefinite,Intra-domain,hard
saturn,titan,mercury,sun,2.0,Common,Definite,Intra-domain,hard
camera,photograph,calculator,computation,5.0,Common,Definite,Cross-domain,easy
camera,photograph,torch,light,5.0,Common,Definite,Cross-domain,easy
camera,photograph,phone,call,4.4,Common,Definite,Intra-domain,easy
camera,photograph,keyboard,type,4.0,Common,Definite,Intra-domain,easy
camera,photograph,heater,heat,3.8,Common,Definite,Cross-domain,easy
camera,photograph,fan,air,3.2,Common,Indefinite,Intra-domain,easy
camera,photograph,dryer,wind,2.5,Common,Indefinite,Cross-domain,easy
camera,photograph,bottle,eat,1.2,Common,Indefinite,Cross-domain,easy
row,boat,pedal,bicycle,5.0,Common,Definite,Intra-domain,easy
row,boat,accelerate,car,4.6,Common,Indefinite,Intra-domain,easy
row,boat,accelerate,train,4.0,Common,Definite,Intra-domain,easy
row,boat,thrust,airplane,3.8,Common,Definite,Intra-domain,easy
row,boat,push,rocket,1.2,Common,Definite,Intra-domain,easy
whale,ocean,lion,jungle,5.0,Common,Definite,Intra-domain,easy
whale,ocean,monkey,tree,4.8,Common,Definite,Intra-domain,easy
whale,ocean,crow,nest,4.8,Common,Definite,Intra-domain,easy
whale,ocean,frog,lake,4.6,Common,Definite,Intra-domain,easy
whale,ocean,camel,desert,4.6,Common,Definite,Intra-domain,easy
whale,ocean,cow,farm,4.2,Common,Indefinite,Intra-domain,easy
whale,ocean,pig,sea,1.4,Common,Indefinite,Intra-domain,easy
pentagon,five,triangle,three,5.0,Common,Definite,Intra-domain,easy
pentagon,five,quadrilateral,four,5.0,Common,Definite,Intra-domain,easy
pentagon,five,hexagon,six,4.9,Common,Definite,Intra-domain,easy
pentagon,five,cube,eight,3.0,Common,Indefinite,Intra-domain,easy
pentagon,five,polygon,seven,2.0,Common,Indefinite,Intra-domain,easy
chair,wood,omlette,egg,5.0,Common,Indefinite,Cross-domain,easy
chair,wood,bottle,plastic,4.8,Common,Indefinite,Cross-domain,easy
chair,wood,shirt,cotton,4.2,Common,Indefinite,Intra-domain,easy
chair,wood,necklace,gold,4.0,Common,Indefinite,Intra-domain,easy
chair,wood,floor,marble,4.0,Common,Indefinite,Cross-domain,easy
chair,wood,door,glass,3.4,Common,Indefinite,Cross-domain,easy
chair,wood,table,stone,2.4,Common,Indefinite,Intra-domain,easy
chair,wood,fruit,charcoal,1.8,Common,Indefinite,Cross-domain,easy
car,road,boat,lake,5.0,Common,Definite,Intra-domain,easy
car,road,train,track,5.0,Common,Definite,Intra-domain,easy
car,road,airplane,sky,4.8,Common,Definite,Intra-domain,easy
car,road,rocket,space,4.8,Common,Definite,Intra-domain,easy
car,road,cycle,water,1.6,Common,Indefinite,Cross-domain,easy
car,road,scooter,galaxy,1.2,Common,Indefinite,Cross-domain,easy
city,state,state,country,5.0,Common,Definite,Intra-domain,easy
city,state,lane,city,4.8,Common,Indefinite,Intra-domain,easy
city,state,country,continent,4.2,Common,Definite,Intra-domain,easy
city,state,road,country,2.2,Common,Indefinite,Cross-domain,easy
city,state,street,galaxy,1.8,Common,Indefinite,Cross-domain,easy
corn,husk,pea,pod,5.0,Unc,Definite,Intra-domain,advanced
corn,husk,pineapple,rind,5.0,Unc,Definite,Intra-domain,advanced
corn,husk,egg,shell,4.0,Common,Definite,Intra-domain,advanced
corn,husk,banana,peel,3.93,Common,Definite,Intra-domain,advanced
corn,husk,cauliflower,leaf,3.8,Common,Definite,Intra-domain,advanced
corn,husk,carrot,cover,2.6,Common,Indefinite,Intra-domain,advanced
corn,husk,apple,wax,1.8,Common,Definite,Intra-domain,advanced
letter,word,chapter,book,5.0,Common,Definite,Intra-domain,easy
letter,word,sentence,paragraph,4.8,Common,Definite,Intra-domain,easy
letter,word,paragraph,chapter,4.8,Common,Definite,Intra-domain,easy
letter,word,word,sentence,4.6,Common,Definite,Intra-domain,easy
letter,word,index,comic,2.6,Common,Indefinite,Intra-domain,easy
letter,word,alphabet,magazine,2.2,Common,Indefinite,Intra-domain,easy
saw,cut,hammer,pound,5.0,Common,Indefinite,Intra-domain,easy
saw,cut,screwdriver,screw,4.8,Common,Definite,Intra-domain,easy
saw,cut,chisel,carve,4.6,Common,Definite,Intra-domain,easy
saw,cut,wrench,rotate,4.6,Common,Indefinite,Intra-domain,easy
saw,cut,level,measure,4.0,Common,Definite,Intra-domain,easy
saw,cut,jack,raise,3.0,Common,Definite,Intra-domain,easy
saw,cut,reamer,punch,1.2,Common,Definite,Intra-domain,easy
pencil,write,eraser,erase,5.0,Common,Definite,Intra-domain,easy
pencil,write,sharpner,sharpen,4.6,Common,Indefinite,Intra-domain,easy
pencil,write,scale,measure,4.0,Common,Definite,Intra-domain,easy
pencil,write,crayon,color,4.0,Common,Definite,Intra-domain,easy
pencil,write,spoon,stir,3.6,Common,Indefinite,Intra-domain,easy
pencil,write,brush,paint,3.0,Common,Definite,Intra-domain,easy
pencil,write,spatula,flip,2.2,Common,Definite,Cross-domain,easy
pencil,write,bowl,wash,1.0,Common,Indefinite,Intra-domain,easy
clock,time,thermometer,temperature,5.0,Common,Definite,Intra-domain,easy
clock,time,voltmeter,voltage,5.0,Unc,Definite,Intra-domain,easy
clock,time,ammeter,current,4.67,Unc,Definite,Cross-domain,easy
clock,time,scale,weight,4.2,Common,Definite,Intra-domain,easy
clock,time,calendar,event,4.2,Common,Definite,Intra-domain,easy
clock,time,televison,news,3.8,Common,Indefinite,Cross-domain,easy
clock,time,watch,resistance,2.4,Common,Indefinite,Cross-domain,easy
pilot,fly,sailor,sail,5.0,Common,Definite,Intra-domain,easy
pilot,fly,driver,drive,4.6,Common,Definite,Intra-domain,easy
pilot,fly,athlete,jump,4.1,Common,Definite,Cross-domain,easy
pilot,fly,cyclist,cycle,4.0,Common,Definite,Intra-domain,easy
pilot,fly,astronaut,run,2.0,Common,Indefinite,Intra-domain,easy
chimney,smoke,faucet,water,5.0,Common,Definite,Intra-domain,easy
chimney,smoke,stove,fire,5.0,Common,Indefinite,Intra-domain,easy
chimney,smoke,gun,bullet,4.5,Common,Definite,Cross-domain,easy
chimney,smoke,flute,sound,4.0,Common,Definite,Intra-domain,easy
chimney,smoke,lighter,spark,3.0,Common,Definite,Cross-domain,easy
chimney,smoke,pipe,wind,2.2,Common,Indefinite,Cross-domain,easy
chimney,smoke,phone,storm,1.0,Common,Definite,Cross-domain,easy
stomach,digest,lung,breathe,5.0,Common,Definite,Intra-domain,hard
stomach,digest,heart,pump,4.8,Common,Indefinite,Intra-domain,hard
stomach,digest,brain,think,4.2,Common,Definite,Intra-domain,hard
stomach,digest,kidney,waste,4.0,Common,Indefinite,Intra-domain,hard
stomach,digest,muscle,move,3.8,Common,Indefinite,Intra-domain,hard
stomach,digest,skin,fat,1.8,Common,Indefinite,Intra-domain,hard
summer,plums,spring,mango,5.0,Common,Definite,Intra-domain,hard
summer,plums,fall,grapes,4.2,Common,Indefinite,Intra-domain,hard
summer,plums,winter,guava,3.8,Common,Definite,Intra-domain,hard
summer,plums,rainy,lychee,3.0,Common,Indefinite,Intra-domain,hard
summer,plums,monsoon,apples,2.6,Common,Definite,Intra-domain,hard
summer,cucumber,spring,asparagus,5.0,Common,Definite,Intra-domain,hard
summer,cucumber,fall,cauliflower,5.0,Common,Indefinite,Intra-domain,hard
summer,cucumber,winter,carrot,4.6,Common,Indefinite,Intra-domain,hard
summer,cucumber,rainy,pear,3.4,Common,Definite,Intra-domain,hard
summer,cucumber,monsoon,broccoli,1.4,Common,Indefinite,Intra-domain,hard
wool,sheep,silk,silkworm,5.0,Common,Definite,Intra-domain,easy
wool,sheep,cotton,plant,4.8,Common,Indefinite,Intra-domain,easy
wool,sheep,fur,fox,4.4,Common,Indefinite,Intra-domain,easy
wool,sheep,polyester,chemical,4.2,Common,Definite,Intra-domain,easy
wool,sheep,leather,alligator,4.0,Common,Definite,Intra-domain,easy
wool,sheep,denim,rat,1.0,Unc,Indefinite,Intra-domain,easy
earthquake,tsunami,rain,flood,5.0,Common,Indefinite,Intra-domain,hard
earthquake,tsunami,storm,hurricane,4.0,Common,Definite,Intra-domain,hard
earthquake,tsunami,earthquake,volcano,3.8,Common,Indefinite,Intra-domain,hard
earthquake,tsunami,cloud,storm,3.0,Common,Indefinite,Intra-domain,hard
earthquake,tsunami,hill,lightening,1.2,Common,Indefinite,Intra-domain,hard
lick,taste,sniff,smell,5.0,Common,Definite,Intra-domain,easy
lick,taste,touch,feel,4.6,Common,Definite,Intra-domain,easy
lick,taste,strain,see,3.0,Common,Indefinite,Intra-domain,easy
lick,taste,walk,hear,1.8,Common,Indefinite,Intra-domain,easy
lick,taste,swallow,run,1.0,Common,Indefinite,Cross-domain,easy
selfish,compassion,hasty,patience,5.0,Common,Indefinite,Intra-domain,advanced
selfish,compassion,miserly,generosity,5.0,Common,Definite,Intra-domain,advanced
selfish,compassion,childish,maturity,4.6,Common,Indefinite,Intra-domain,advanced
selfish,compassion,foolish,sagacity,3.6,Common,Indefinite,Intra-domain,advanced
selfish,compassion,bookish,frazzled,2.4,Common,Indefinite,Intra-domain,advanced
selfish,compassion,jumpy,nerd,1.0,Common,Indefinite,Intra-domain,advanced
lemon,sour,candy,sweet,5.0,Common,Indefinite,Intra-domain,medium
lemon,sour,salsa,spicy,4.8,Common,Definite,Intra-domain,medium
lemon,sour,fries,salty,4.0,Common,Definite,Intra-domain,medium
lemon,sour,mocktail,fruity,4.0,Common,Indefinite,Intra-domain,medium
lemon,sour,berry,bitter,2.8,Common,Definite,Intra-domain,medium
lemon,sour,crisps,icy,1.2,Common,Indefinite,Intra-domain,medium
lemon,sour,banana,chilli,1.0,Common,Definite,Intra-domain,medium
cheerleader,squad,musician,band,5.0,Common,Definite,Intra-domain,advanced
cheerleader,squad,computer,network,4.6,Common,Indefinite,Cross-domain,advanced
cheerleader,squad,tree,orchard,4.0,Common,Definite,Cross-domain,advanced
cheerleader,squad,vine,vineyard,3.2,Common,Indefinite,Cross-domain,advanced
cheerleader,squad,athlete,team,2.0,Common,Definite,Intra-domain,advanced
cheerleader,squad,minister,house,1.0,Common,Indefinite,Cross-domain,advanced
cheerleader,squad,queen,beach,1.0,Common,Indefinite,Cross-domain,advanced
water,flow,smoke,billow,5.0,Common,Definite,Intra-domain,hard
water,flow,ball,bounce,4.8,Common,Indefinite,Cross-domain,hard
water,flow,clock,tick,4.6,Common,Definite,Cross-domain,hard
water,flow,hail,pelt,4.4,Common,Indefinite,Intra-domain,hard
water,flow,fire,rise,3.2,Common,Definite,Intra-domain,hard
water,flow,door,creak,3.1,Common,Indefinite,Cross-domain,hard
water,flow,snow,fall,3.0,Common,Definite,Intra-domain,hard
water,flow,anchor,sink,2.0,Common,Definite,Intra-domain,hard
water,flow,rain,sit,1.8,Common,Indefinite,Intra-domain,hard
mountain,range,island,archipelago,5.0,Unc,Definite,Intra-domain,advanced
mountain,range,tree,grove,5.0,Unc,Definite,Intra-domain,advanced
mountain,range,squid,shoal,4.4,Unc,Definite,Intra-domain,advanced
mountain,range,burrow,warren,4.0,Unc,Definite,Intra-domain,advanced
mountain,range,whale,pod,3.2,Unc,Indefinite,Cross-domain,advanced
mountain,range,file,pile,2.0,Common,Indefinite,Cross-domain,advanced
mountain,range,stone,handle,1.0,Common,Indefinite,Cross-domain,advanced
kilometer,meter,kilogram,gram,5.0,Common,Definite,Intra-domain,advanced
kilometer,meter,gram,milligram,5.0,Common,Definite,Intra-domain,advanced
kilometer,meter,feet,inch,5.0,Common,Definite,Intra-domain,advanced
kilometer,meter,meter,millimeter,4.6,Common,Definite,Intra-domain,advanced
kilometer,meter,liter,milliliter,3.0,Common,Definite,Intra-domain,advanced
kilometer,meter,yard,angle,1.0,Common,Indefinite,Intra-domain,advanced
cat,meow,sheep,bleat,5.0,Common,Definite,Intra-domain,medium
cat,meow,cow,moo,5.0,Common,Definite,Intra-domain,medium
cat,meow,snake,hiss,4.8,Common,Definite,Intra-domain,medium
cat,meow,pigs,oink,4.8,Common,Definite,Intra-domain,medium
cat,meow,elephant,trumpet,4.8,Common,Definite,Intra-domain,medium
cat,meow,tiger,growl,4.4,Common,Indefinite,Intra-domain,medium
cat,meow,crow,caw,4.2,Common,Definite,Intra-domain,medium
cat,meow,bark,dog,4.2,Common,Definite,Intra-domain,medium
cat,meow,roar,lion,4.0,Common,Definite,Intra-domain,medium
cat,meow,chicken,cluck,3.0,Common,Definite,Intra-domain,medium
cat,meow,eagle,scream,2.0,Common,Definite,Intra-domain,medium
cat,meow,snake,oink,1.8,Common,Definite,Intra-domain,medium
slay,dragon,row,boat,5.0,Common,Indefinite,Cross-domain,advanced
slay,dragon,marinate,food,4.2,Common,Definite,Cross-domain,advanced
slay,dragon,sweep,floor,4.0,Common,Indefinite,Cross-domain,advanced
slay,dragon,charity,donate,3.0,Common,Indefinite,Cross-domain,advanced
slay,dragon,polish,blanket,2.0,Common,Definite,Cross-domain,advanced
slay,dragon,tie,wind,1.8,Common,Indefinite,Cross-domain,advanced
slay,dragon,fasten,book,1.0,Common,Indefinite,Cross-domain,advanced
hatchback,cruze,sedan,impala,5.0,Unc,Indefinite,Intra-domain,advanced
hatchback,cruze,suv,tahoe,5.0,Unc,Indefinite,Intra-domain,advanced
hatchback,cruze,coupe,camara,4.8,Unc,Indefinite,Intra-domain,advanced
hatchback,cruze,economy,captiva,3.4,Common,Indefinite,Intra-domain,advanced
hatchback,cruze,family,limousine,1.8,Common,Indefinite,Intra-domain,advanced
library,books,wallet,money,5.0,Common,Definite,Intra-domain,easy
library,books,laboratory,equipments,4.4,Common,Definite,Intra-domain,easy
library,books,fort,soldiers,4.4,Common,Definite,Cross-domain,easy
library,books,hive,bees,4.0,Common,Definite,Cross-domain,easy
library,books,school,pencils,3.4,Common,Indefinite,Intra-domain,easy
library,books,bank,clothes,1.0,Common,Indefinite,Cross-domain,easy
floor,building,page,book,5.0,Common,Definite,Cross-domain,easy
floor,building,tree,forest,5.0,Common,Definite,Cross-domain,easy
floor,building,room,house,4.2,Common,Indefinite,Intra-domain,easy
floor,building,flower,boquet,3.8,Common,Indefinite,Cross-domain,easy
floor,building,bone,body,3.6,Common,Indefinite,Cross-domain,easy
floor,building,chair,park,1.0,Common,Indefinite,Cross-domain,easy
mountains,cool,poles,icy,5.0,Common,Indefinite,Cross-domain,easy
mountains,cool,beach,warm,4.2,Common,Indefinite,Intra-domain,easy
mountains,cool,night,dark,4.0,Common,Definite,Cross-domain,easy
mountains,cool,equator,hot,4.0,Common,Indefinite,Intra-domain,easy
mountains,cool,day,light,3.0,Common,Indefinite,Cross-domain,easy
mountains,cool,graveyard,windy,2.2,Common,Indefinite,Cross-domain,easy
mountains,cool,noon,chilly,1.4,Common,Indefinite,Cross-domain,easy
gold,malleable,platinum,ductile,5.0,Unc,Definite,Intra-domain,advanced
gold,malleable,manganese,brittle,5.0,Unc,Definite,Intra-domain,advanced
gold,malleable,cobalt,tough,4.6,Unc,Definite,Intra-domain,advanced
gold,malleable,silver,shiny,2.6,Common,Indefinite,Intra-domain,advanced
gold,malleable,aluminium,hard,2.0,Common,Definite,Intra-domain,advanced
bronze,gear,lead,battery,5.0,Common,Indefinite,Intra-domain,advanced
bronze,gear,brass,screw,4.4,Unc,Indefinite,Intra-domain,advanced
bronze,gear,steel,needles,3.4,Unc,Indefinite,Intra-domain,advanced
bronze,gear,aluminium,foil,2.9,Common,Indefinite,Intra-domain,advanced
bronze,gear,iron,plastic,1.0,Common,Indefinite,Cross-domain,advanced
barite,glass,diatomite,fillers,5.0,Unc,Definite,Intra-domain,advanced
barite,glass,feldspar,ceramic,5.0,Unc,Indefinite,Intra-domain,advanced
barite,glass,gypsum,cement,4.6,Unc,Definite,Intra-domain,advanced
barite,glass,mica,plastic,4.0,Unc,Indefinite,Intra-domain,advanced
barite,glass,silica,rubber,3.8,Unc,Indefinite,Intra-domain,advanced
barite,glass,kaolin,plastic,3.0,Unc,Indefinite,Intra-domain,advanced
barite,glass,talc,paper,2.8,Unc,Indefinite,Cross-domain,advanced
barite,glass,calcium,engine,2.0,Unc,Indefinite,Intra-domain,advanced
barite,glass,mica,mice,1.1,Unc,Indefinite,Cross-domain,advanced
