id,challange,difficulty
0,lull :: trust,advanced
1,swarm :: bee,medium
2,obtain :: steal,advanced
3,inadvertent :: thought,hard
4,parsimony :: philanthropy,advanced
5,devotion :: obsession,hard
6,bequest :: heir,medium
7,prosaic :: epic,hard
8,corroded :: alloy,hard
9,depose :: king,hard
10,gauche :: adroit,medium
11,archeology :: science,hard
12,apprehensive :: petrified,hard
13,stay :: depart,easy
14,stammer :: speech,hard
15,corpulence :: obesity,hard
16,callow :: experience,advanced
17,indolent :: assiduous,medium
18,strident :: sound,hard
19,rehearsal :: impromptu,hard
20,lynch :: execute,hard
21,fathom :: depth,advanced
22,audible :: blaring,medium
23,insubordination :: punishment,medium
24,enthusiast :: fervor,medium
25,novice :: experience,medium
26,talisman :: charm,advanced
27,progenitor :: descendant,easy
28,dearth :: abundance,hard
29,eminence :: infamy,advanced
30,vivid :: lurid,advanced
31,caprice :: predictable,hard
32,precarious :: stability,hard
33,quack :: doctor,medium
34,hapless :: lucky,hard
35,acquit :: charge,advanced
36,judicious :: prudence,advanced
37,lethargic :: energy,advanced
38,elastic :: flexible,easy
39,unnerve :: composure,easy
40,overexertion :: fatigue,hard
41,encourage :: coerce,hard
42,bungler :: finesse,hard
43,drapery :: fabric,medium
44,best :: seller,easy
45,excitement :: frenzy,medium
46,magnify :: appearance,medium
47,pedestrian :: walks,medium
48,song :: repertoire,hard
49,courier :: message,easy
50,crumb :: bread,medium
51,overcoat :: warmth,medium
52,immaculate :: clean,medium
53,scene :: act,medium
54,traffic :: street,hard
55,mortar :: brick,medium
56,avenge :: wrong,hard
57,arboretum :: botanical,medium
58,fame :: celebrity,medium
59,squall :: wind,advanced
60,frighten :: skittish,hard
61,puppeteer :: marionette,hard
62,pallid :: color,hard
63,scapegoat :: blame,easy
64,atrophy :: withered,hard
65,adult :: child,easy
66,mansion :: residence,easy
67,envelope :: letter,medium
68,choreography :: dance,hard
69,overdose :: prescription,advanced
70,evaporate :: vapor,hard
71,mercenary :: money,advanced
72,drift :: move,advanced
73,hammer :: anvil,hard
74,numb :: insensible,advanced
75,exorbitant :: moderation,hard
76,troubled :: distraught,advanced
77,vertigo :: dizzy,hard
78,indigenous :: native,easy
79,palatable :: toothsome,hard
80,paint :: canvas,advanced
81,seedy :: elegant,advanced
82,bungalow :: domicile,medium
83,devour :: consume,advanced
84,tentacle :: octopus,easy
85,submit :: subordinate,advanced
86,beagle :: dog,easy
87,indigence :: opulence,hard
88,mentor :: guide,medium
89,haiku :: poem,easy
90,dynamic :: static,hard
91,sword :: sheath,easy
92,paleontologist :: tyrannosaurus,medium
93,food :: hunger,advanced
94,crowbar :: pry,medium
95,ream :: paper,hard
96,fond :: doting,hard
97,eagle :: bird,easy
98,worry :: panic,easy
99,birds :: wings,hard
100,pebble :: rock,medium
101,livid :: angry,medium
102,saunter :: walk,medium
103,word :: language,easy
104,alligator :: reptile,easy
105,cherry :: fruit,medium
106,oxygen :: gas,easy
107,shallow :: depth,medium
108,amorphous :: shape,hard
109,scissors :: cut,advanced
110,glue :: fasten,hard
111,ornament :: embellish,medium
112,reprehensible :: condemn,hard
113,quart :: volume,medium
114,smile :: happiness,medium
115,flowers :: florist,easy
116,hoard :: save,easy
117,playwright :: actor,easy
118,building :: blueprint,easy
119,antiseptic :: germs,medium
120,sluggish :: energy,easy
121,library :: book,medium
122,move :: scurry,medium
123,iron :: metal,medium
124,emigrate :: country,medium
125,injurious :: harm,hard
126,omnipotent :: power,hard
127,temper :: extreme,hard
128,caricature :: drawing,medium
129,incorrigible :: reformed,advanced
130,propagandize :: principles,hard
131,loathsome :: contempt,hard
132,neophyte :: experienced,hard
133,hostile :: bellicose,advanced
134,abrasive :: skin,hard
135,bus :: passengers,medium
136,glaze :: pottery,hard
137,burnish :: metal,hard
138,promontory :: view,hard
139,amalgam :: metals,hard
140,verification :: confirm,advanced
141,mechanical :: garage,advanced
142,sap :: tree,medium
143,repeal :: law,medium
144,epilogue :: play,hard
145,canal :: waterway,medium
146,treason :: country,easy
147,territory :: delegate,advanced
148,inquisitorial :: curiosity,advanced
149,vulnerable :: hurt,advanced
150,prevarication :: statement,advanced
151,abbreviation :: word,medium
152,patent :: obvious,easy
153,mundane :: novel,advanced
154,criticize :: censorious,hard
155,lame :: mobility,hard
156,bankruptcy :: money,medium
157,asteroid :: planet,advanced
158,embargo :: trade,advanced
159,alteration :: suit,easy
160,resolute :: determination,medium
161,inaudible :: amplifier,easy
162,vacillate :: indecision,medium
163,pastiche :: writing,medium
164,simian :: ape,easy
165,levee :: flood,hard
166,foolhardy :: recklessness,hard
167,purgation :: impurities,hard
168,philanthropist :: largesse,hard
169,flake :: snow,easy
170,banana :: peel,medium
171,tree :: forest,medium
172,mare :: horse,medium
173,armistice :: hostilities,medium
174,floral :: flowers,hard
175,sequester :: juror,hard
176,void :: empty,advanced
177,emend :: faulty,medium
178,evade :: straightforward,hard
179,fickle :: inconsistency,medium
180,immature :: develop,medium
181,indolent :: sloth,hard
182,recuperate :: surgery,advanced
183,sketch :: artist,medium
184,yearn :: longing,medium
185,freight :: truck,hard
186,chat :: converse,advanced
187,collage :: images,medium
188,neighbor :: proximity,hard
189,abash :: embarrassment,medium
190,terrestrial :: land,easy
191,trial :: jury,hard
192,wedding :: marriage,hard
193,salve :: wound,hard
194,refugee :: asylum,advanced
195,mystify :: understanding,advanced
196,actor :: cast,easy
197,border :: country,medium
198,catalog :: shopper,medium
199,heckler :: disconcert,hard
200,volatile :: vaporize,medium
201,buttress :: support,medium
202,iconoclast :: orthodoxy,hard
203,eraser :: page,advanced
204,goggles :: eyes,hard
205,portfolio :: documents,easy
206,tentacles :: octopus,advanced
207,ticket :: admission,medium
208,proficiency :: expert,medium
209,cosmetics :: embellish,medium
210,veer :: course,advanced
211,carping :: criticize,medium
212,reclusive :: companionship,medium
213,tactile :: touch,advanced
214,sort :: criterion,hard
215,forensics :: argumentation,hard
216,intransigent :: compromise,medium
217,current :: electricity,easy
218,embroidery :: cloth,easy
219,waiter :: diner,easy
220,kernel :: nut,medium
221,reveler :: merrymaking,hard
222,nightmare :: dream,advanced
223,cogent :: persuasiveness,easy
224,drought :: rain,easy
225,antibiotic :: infection,medium
226,humidifier :: moisture,medium
227,condolence :: mourner,medium
228,petal :: flower,hard
229,ruthless :: compassion,medium
230,emollient :: soften,medium
231,caption :: cartoon,medium
232,malinger :: work,hard
233,berate :: criticize,medium
234,perceptive :: discern,hard
235,emulate :: person,hard
236,incumbent :: office,hard
237,conundrum :: perplex,advanced
238,museum :: exhibit,medium
239,lens :: glass,medium
240,arena :: conflict,medium
241,arable :: cultivation,hard
242,refurbish :: worn,hard
243,shove :: nudge,hard
244,defend :: untenable,hard
245,flap :: wing,medium
246,poison :: toxic,easy
247,deduction :: rational,medium
248,beauty :: aesthete,medium
249,flippancy :: jollity,advanced
250,incantation :: words,hard
251,camera :: photographer,medium
252,format :: newspaper,advanced
253,decibel :: sound,easy
254,barley :: grain,hard
255,arid :: dry,hard
256,fission :: energy,medium
257,lobbyist :: cause,medium
258,journal :: article,hard
259,emissary :: represent,medium
260,potentate :: power,hard
261,postscript :: letter,hard
262,impious :: reverence,hard
263,disingenuous :: craftiness,medium
264,exculpate :: blame,advanced
265,locomotive :: train,hard
266,bruise :: skin,easy
267,carpenter :: woodwork,medium
268,walk :: scurry,easy
269,regale :: entertain,medium
270,recycle :: waste,advanced
271,florid :: prose,advanced
272,story :: building,medium
273,sprout :: seed,easy
274,doormat :: shoes,hard
275,atlas :: maps,advanced
276,abridge :: novel,hard
277,dodo :: bird,medium
278,procrastinate :: action,hard
279,lummox :: clumsy,medium
280,siren :: warning,advanced
281,preamble :: statute,easy
282,hedonistic :: pleasure,medium
283,topic :: discourse,hard
284,contemporaries :: age,hard
285,querulous :: complain,medium
286,seed :: plant,medium
287,chief :: hierarchy,advanced
288,sandal :: footwear,medium
289,rent :: property,easy
290,virtuoso :: music,hard
291,unfetter :: pinioned,advanced
292,wing :: air,medium
293,condense :: short,hard
294,orator :: speech,hard
295,jubilation :: joy,easy
296,dingy :: building,medium
297,rangers :: forest,hard
298,stimulant :: activity,hard
299,paramount :: importance,hard
300,raucous :: sound,hard
301,tourniquet :: bleeding,hard
302,cloying :: sweetness,advanced
303,perfidious :: treachery,advanced
304,corroborate :: claim,hard
305,lubricant :: slide,medium
306,stomp :: walk,medium
307,index :: topics,advanced
308,mendicant :: beg,hard
309,prudent :: indiscretion,hard
310,viscous :: flow,advanced
311,map :: navigate,easy
312,skull :: head,advanced
313,accomplice :: crime,advanced
314,barricade :: access,medium
315,ensemble :: dancer,hard
316,consider :: contemplate,hard
317,congeal :: solid,medium
318,shear :: wool,advanced
319,epilogue :: book,advanced
320,glutton :: moderation,medium
321,affectation :: behavior,hard
322,exhortation :: urge,advanced
323,cooperation :: collusion,advanced
324,gaze :: observer,medium
325,odometer :: distance,medium
326,copyright :: book,medium
327,feign :: deceive,medium
328,ethos :: values,medium
329,torpid :: sluggish,advanced
330,ruler :: line,hard
331,catnap :: sleep,hard
332,manager :: store,medium
333,wallet :: money,medium
334,lubricate :: smoothly,hard
335,bird :: avian,medium
336,irrational :: logic,advanced
337,constellation :: stars,medium
338,calculator :: compute,advanced
339,extravagant :: spend,hard
340,architect :: blueprint,hard
341,weave :: fabric,advanced
342,testimony :: witness,hard
343,criterion :: judgment,hard
344,abbreviation :: word,advanced
345,avaricious :: greed,advanced
346,animosity :: hatred,hard
347,mason :: stone,easy
348,precarious :: stability,advanced
349,binomial :: name,medium
350,amplifier :: ear,easy
351,opaque :: transparent,advanced
352,rife :: singular,advanced
